agri_risk_score,claims_history_index,yield_stability,weather_volatility,market_stability,soil_quality,insurance_risk_score
27.3,0.37,0.47,0.43,0.77,0.76,29.2
5.5,0.16,1.0,0.19,0.69,0.93,10.5
33.6,0.42,0.69,0.51,0.44,0.65,40.1
7.6,0.0,0.83,0.28,0.83,1.0,11.0
52.0,0.5,0.59,0.53,0.49,0.79,46.2
17.3,0.08,0.71,0.17,0.77,0.95,20.9
30.4,0.34,0.71,0.28,0.39,0.76,41.2
13.6,0.23,1.0,0.14,0.68,0.89,23.8
3.0,0.0,0.92,0.15,0.69,1.0,7.5
12.5,0.32,0.73,0.3,0.49,0.88,29.0
22.0,0.13,0.94,0.38,0.75,1.0,23.9
5.5,0.11,0.96,0.07,0.64,0.88,10.4
66.2,0.88,0.64,0.61,0.5,0.67,60.5
26.0,0.35,0.82,0.33,0.75,0.9,33.1
15.7,0.22,0.96,0.24,0.66,0.85,18.9
43.6,0.42,0.62,0.4,0.68,0.9,36.1
21.9,0.28,0.86,0.3,0.89,0.86,27.2
37.0,0.31,0.72,0.41,0.65,0.88,32.0
11.2,0.22,0.99,0.26,0.92,1.0,10.3
44.7,0.37,0.39,0.43,0.56,0.6,43.2
13.3,0.11,0.74,0.38,0.92,0.97,20.8
25.4,0.17,0.85,0.28,0.71,0.72,22.8
25.1,0.22,0.76,0.44,0.91,0.91,28.0
49.5,0.45,0.39,0.59,0.8,0.76,38.2
29.1,0.09,0.75,0.34,0.19,0.72,26.7
30.9,0.31,0.93,0.37,0.42,0.76,31.7
41.5,0.37,0.61,0.55,0.64,1.0,40.6
11.8,0.0,0.94,0.23,0.93,0.98,7.5
21.1,0.14,0.86,0.35,0.55,1.0,24.3
43.6,0.47,0.47,0.55,0.88,0.74,50.6
34.5,0.17,0.65,0.51,0.74,0.81,28.3
22.4,0.21,0.46,0.22,0.52,0.82,34.0
39.2,0.51,0.47,0.57,0.69,0.8,42.1
17.3,0.13,0.81,0.41,0.69,0.79,29.1
17.5,0.32,0.65,0.21,0.67,0.99,27.3
15.0,0.26,0.85,0.29,0.58,0.98,18.0
32.8,0.36,0.63,0.24,0.8,0.82,33.3
16.7,0.16,1.0,0.17,0.69,0.89,9.3
50.7,0.51,0.8,0.53,0.7,0.74,39.4
76.5,0.81,0.23,0.73,0.84,0.6,66.5
14.3,0.34,0.91,0.26,0.74,1.0,20.7
22.6,0.28,0.96,0.37,0.73,1.0,17.6
38.3,0.53,0.62,0.51,0.69,0.75,31.4
32.8,0.21,0.74,0.28,0.77,0.99,24.4
20.1,0.15,0.59,0.34,0.7,0.88,21.7
32.7,0.33,0.75,0.4,0.46,0.65,27.5
37.0,0.5,0.82,0.29,0.83,0.88,31.2
38.3,0.2,0.45,0.34,0.97,0.74,34.8
53.6,0.84,0.22,0.5,0.76,0.76,52.5
39.8,0.4,0.8,0.54,0.65,0.59,39.7
22.0,0.34,0.73,0.22,0.69,0.88,23.5
14.6,0.14,0.74,0.16,0.83,1.0,12.5
22.0,0.14,0.79,0.37,0.93,0.8,8.6
31.3,0.48,0.6,0.51,0.35,0.87,46.5
7.3,0.05,0.77,0.19,0.4,1.0,17.0
24.9,0.18,0.52,0.28,0.75,0.84,21.2
61.4,0.65,0.66,0.51,0.47,0.77,62.2
78.8,0.85,0.46,0.57,0.58,0.65,71.2
30.9,0.34,0.65,0.27,0.79,0.76,25.7
7.5,0.12,1.0,0.08,0.59,0.83,17.4
35.4,0.39,0.85,0.4,0.62,0.74,31.9
6.7,0.19,0.93,0.34,0.69,0.86,11.0
20.0,0.21,1.0,0.38,0.66,0.93,21.4
31.8,0.25,0.38,0.4,0.49,0.94,35.2
37.4,0.45,0.59,0.41,0.76,0.84,37.9
53.7,0.29,0.73,0.56,0.86,0.74,39.3
7.1,0.13,0.88,0.16,0.76,1.0,14.6
26.3,0.41,0.91,0.24,0.81,0.67,20.0
18.2,0.26,0.67,0.3,0.97,0.89,19.0
38.8,0.23,0.51,0.43,0.6,0.91,36.4
10.9,0.25,0.95,0.36,0.63,0.94,16.6
8.8,0.03,1.0,0.26,0.84,0.96,13.0
27.9,0.3,0.75,0.43,0.68,0.8,34.4
4.3,0.17,0.89,0.06,0.8,1.0,10.8
45.6,0.39,0.4,0.55,0.71,0.73,39.6
35.6,0.37,1.0,0.54,0.42,0.92,29.2
25.4,0.12,0.8,0.38,0.77,1.0,22.0
18.9,0.17,0.98,0.35,0.73,0.87,19.3
26.8,0.15,0.88,0.48,0.63,0.8,35.1
25.9,0.31,0.67,0.3,0.92,0.78,24.4
52.5,0.38,0.48,0.61,0.75,0.8,47.2
53.0,0.52,0.35,0.49,0.73,0.79,48.5
51.7,0.46,0.6,0.49,0.78,0.77,39.7
55.5,0.48,0.42,0.59,0.83,0.69,49.1
34.8,0.46,0.9,0.32,0.92,0.89,36.5
17.1,0.06,0.59,0.42,0.95,1.0,15.0
47.9,0.42,0.6,0.43,0.51,0.51,48.1
54.7,0.57,0.83,0.42,0.62,0.9,51.3
43.5,0.5,0.45,0.4,0.89,0.66,39.6
44.2,0.26,0.58,0.57,0.77,0.83,38.3
19.8,0.18,0.75,0.23,0.86,0.99,17.9
45.0,0.53,0.68,0.5,0.74,0.79,54.6
14.0,0.31,0.56,0.38,0.91,0.92,24.2
51.2,0.52,0.31,0.44,0.61,0.67,49.1
21.2,0.07,0.64,0.19,0.78,0.94,19.3
8.5,0.08,1.0,0.09,0.58,1.0,15.4
58.8,0.54,0.38,0.54,0.25,0.73,56.8
44.7,0.48,0.46,0.34,0.68,0.6,43.3
36.8,0.55,0.69,0.39,0.64,0.88,33.6
33.5,0.22,0.7,0.49,0.71,0.82,20.7
20.8,0.32,0.76,0.38,0.48,0.89,22.0
41.1,0.5,0.51,0.46,0.88,0.81,45.5
14.2,0.21,0.72,0.35,0.78,0.92,18.9
10.2,0.13,1.0,0.1,0.72,0.8,9.0
50.8,0.72,0.72,0.54,0.73,0.7,52.5
43.6,0.57,0.37,0.34,0.72,0.8,47.3
50.1,0.44,0.44,0.5,0.6,0.67,52.9
62.6,0.63,0.44,0.58,0.8,0.79,55.1
12.9,0.02,0.74,0.17,0.56,1.0,18.4
36.4,0.5,0.75,0.5,0.8,0.98,33.2
25.3,0.26,0.78,0.25,0.87,1.0,28.0
39.5,0.2,0.73,0.44,0.77,0.65,37.1
21.0,0.0,1.0,0.29,0.39,0.9,21.8
47.7,0.42,0.27,0.46,0.74,0.85,47.9
44.4,0.36,0.78,0.32,0.93,0.8,42.7
35.2,0.31,0.57,0.46,0.86,0.99,41.3
4.1,0.02,1.0,0.03,0.87,0.79,9.1
23.1,0.36,0.85,0.41,0.68,0.95,37.2
61.3,0.76,0.6,0.51,0.7,0.58,54.1
39.6,0.62,0.62,0.31,0.59,0.83,35.9
52.1,0.69,0.36,0.49,0.82,0.48,54.4
4.9,0.11,0.99,0.2,0.28,1.0,13.2
4.5,0.0,1.0,0.12,0.76,1.0,4.3
25.2,0.33,0.81,0.21,0.8,0.92,20.6
36.0,0.2,0.56,0.26,0.77,0.87,33.8
39.7,0.43,0.59,0.49,0.73,0.76,37.7
21.8,0.07,0.83,0.42,0.91,0.99,22.7
27.2,0.47,0.75,0.22,0.65,0.92,34.7
8.0,0.12,0.92,0.12,0.57,0.95,14.3
31.5,0.29,0.84,0.23,0.89,0.82,26.8
11.7,0.07,1.0,0.35,0.63,1.0,16.4
43.3,0.43,0.72,0.44,0.74,0.76,41.9
26.9,0.2,0.83,0.47,0.96,1.0,28.5
42.5,0.39,0.74,0.44,0.55,0.75,37.3
18.0,0.0,0.92,0.38,0.49,0.9,21.2
30.3,0.21,0.73,0.5,0.75,0.91,26.0
18.1,0.07,0.74,0.23,0.37,0.96,15.3
14.9,0.2,0.77,0.3,0.82,0.93,10.7
22.3,0.23,0.78,0.36,0.85,0.88,13.7
15.0,0.24,0.9,0.11,0.56,1.0,14.2
45.3,0.41,0.73,0.45,0.83,0.62,27.0
27.2,0.28,0.72,0.45,0.78,0.99,31.4
22.1,0.02,0.73,0.44,0.76,0.7,18.2
29.0,0.38,0.76,0.47,0.66,0.91,34.4
20.6,0.33,0.87,0.44,0.71,0.87,29.4
24.6,0.31,0.67,0.37,0.89,0.81,28.9
39.6,0.31,0.5,0.35,0.78,1.0,30.1
25.7,0.31,0.85,0.35,0.79,0.78,26.3
24.4,0.26,0.75,0.3,0.64,0.77,34.7
46.7,0.27,0.72,0.4,0.83,0.69,36.2
10.7,0.23,0.94,0.31,0.8,1.0,13.8
18.7,0.08,0.81,0.32,0.63,0.93,17.3
21.9,0.28,0.61,0.39,0.7,0.89,28.5
57.1,0.57,0.44,0.48,0.87,0.63,54.7
28.8,0.42,0.57,0.47,0.73,0.69,33.6
23.4,0.15,0.58,0.24,0.74,0.82,23.2
8.1,0.03,1.0,0.24,0.73,0.93,19.5
17.1,0.24,0.76,0.14,0.7,0.89,19.4
39.4,0.33,0.75,0.44,0.62,0.81,30.0
14.1,0.28,0.7,0.13,0.29,0.97,24.6
33.9,0.26,0.56,0.34,0.68,0.73,28.9
53.7,0.6,0.35,0.63,0.73,0.75,56.2
24.0,0.24,0.87,0.44,0.83,0.81,31.3
19.2,0.13,0.88,0.36,0.43,0.88,9.5
7.5,0.21,0.73,0.16,0.81,1.0,11.5
29.5,0.19,0.5,0.38,0.71,0.71,27.5
35.1,0.4,0.73,0.31,0.72,0.96,30.8
10.5,0.0,1.0,0.28,0.61,1.0,18.4
4.6,0.08,1.0,0.14,0.78,0.82,9.7
29.8,0.42,0.59,0.27,0.94,0.77,26.3
22.2,0.21,0.72,0.33,0.78,0.84,15.3
50.7,0.53,0.57,0.39,0.53,0.63,46.6
9.1,0.26,1.0,0.27,0.82,0.99,23.6
52.5,0.63,0.51,0.42,0.69,0.67,43.9
29.7,0.07,0.65,0.37,0.76,0.67,26.9
27.0,0.22,0.8,0.31,0.66,0.85,28.1
46.7,0.44,0.56,0.5,0.55,0.74,45.3
50.1,0.53,0.53,0.42,0.63,0.71,41.9
21.3,0.21,0.92,0.24,0.9,0.75,16.9
36.4,0.31,0.8,0.3,0.76,0.88,40.1
25.1,0.19,0.8,0.41,0.65,0.79,13.3
10.7,0.0,0.94,0.1,0.48,0.95,0.9
33.4,0.23,0.64,0.35,0.64,0.93,34.4
23.6,0.32,0.78,0.3,0.61,0.83,30.1
16.0,0.06,0.95,0.17,0.39,1.0,18.5
16.8,0.09,0.91,0.23,0.35,0.83,16.7
38.6,0.24,0.53,0.4,0.75,1.0,36.3
28.2,0.32,0.63,0.27,0.69,0.78,23.5
21.0,0.31,0.7,0.34,0.71,0.85,29.6
21.6,0.33,0.96,0.16,0.45,0.96,24.1
9.0,0.05,0.66,0.12,0.68,0.92,15.0
45.3,0.45,0.34,0.5,0.7,0.83,54.6
26.2,0.26,0.65,0.37,0.6,0.84,25.1
32.0,0.28,0.79,0.3,0.62,0.86,33.3
31.0,0.34,0.65,0.42,0.93,0.83,31.6
55.9,0.67,0.32,0.53,0.7,0.81,62.7
29.1,0.39,0.76,0.36,0.62,0.73,32.9
16.9,0.15,0.89,0.22,0.88,0.89,12.6
29.5,0.24,0.82,0.5,0.92,0.87,27.5
4.1,0.0,1.0,0.25,0.97,1.0,0.0
21.3,0.04,0.97,0.22,0.76,0.75,15.7
36.8,0.42,0.72,0.33,0.76,0.91,41.4
15.9,0.16,0.83,0.34,0.94,0.94,17.8
55.3,0.55,0.51,0.5,0.28,0.61,50.3
11.5,0.36,0.82,0.11,0.93,1.0,17.2
39.2,0.55,0.74,0.29,0.74,0.76,36.7
19.9,0.2,0.73,0.26,0.45,1.0,21.7
62.5,0.65,0.26,0.56,0.56,0.67,60.6
29.5,0.18,0.85,0.42,0.75,0.99,29.8
12.9,0.19,0.65,0.26,0.57,1.0,25.9
46.0,0.48,0.45,0.55,0.6,0.69,50.9
34.2,0.25,0.75,0.33,0.93,0.86,18.2
43.0,0.46,0.56,0.49,0.76,0.97,47.1
43.7,0.54,0.54,0.57,0.88,0.97,50.5
18.5,0.39,0.66,0.15,0.78,0.83,18.9
68.1,0.53,0.17,0.69,0.74,0.78,62.8
51.0,0.4,0.46,0.57,0.51,0.77,42.4
44.3,0.43,0.33,0.55,0.87,0.69,39.8
25.8,0.28,0.74,0.26,0.53,0.78,26.7
9.8,0.27,1.0,0.19,0.66,1.0,15.2
5.1,0.17,1.0,0.11,0.55,1.0,12.1
9.0,0.0,0.99,0.16,0.79,1.0,0.0
17.7,0.13,0.85,0.41,0.84,0.93,19.7
21.9,0.07,0.77,0.29,0.78,0.88,20.1
19.1,0.06,0.82,0.39,0.87,0.94,20.6
48.5,0.54,0.39,0.58,0.85,0.63,51.7
37.3,0.39,0.54,0.39,0.51,0.82,49.6
55.9,0.73,0.21,0.69,0.48,0.88,59.3
17.8,0.04,0.95,0.38,0.84,0.92,19.2
36.2,0.36,0.62,0.4,0.82,0.92,26.3
56.3,0.51,0.71,0.49,0.52,0.78,50.7
55.8,0.72,0.36,0.41,0.75,0.58,53.3
2.0,0.0,0.98,0.15,0.92,1.0,0.0
15.2,0.17,0.94,0.21,0.61,0.99,22.0
5.7,0.0,1.0,0.25,0.83,1.0,3.6
30.2,0.45,0.69,0.22,0.82,0.87,26.4
37.5,0.56,0.87,0.51,0.76,0.85,39.3
19.6,0.13,0.68,0.26,0.69,0.83,26.6
44.8,0.37,0.64,0.45,0.84,0.71,31.3
22.6,0.25,0.71,0.21,0.86,0.77,26.1
14.4,0.06,0.84,0.38,0.68,0.88,14.8
27.1,0.39,0.76,0.31,0.63,0.79,31.4
6.5,0.11,0.92,0.3,0.95,0.9,8.9
37.8,0.5,0.6,0.34,0.61,0.82,35.6
59.0,0.48,0.2,0.44,0.62,0.61,56.3
47.5,0.34,0.65,0.52,0.45,0.95,48.3
39.8,0.43,0.39,0.57,0.72,0.69,43.6
42.4,0.59,0.77,0.49,0.68,0.79,38.0
24.3,0.15,0.74,0.35,0.39,0.97,24.4
40.4,0.45,0.72,0.42,0.79,0.83,29.0
18.8,0.12,0.48,0.22,0.56,0.87,30.2
22.4,0.33,0.77,0.29,0.45,0.92,28.1
37.3,0.28,0.62,0.31,0.69,0.93,34.3
23.4,0.26,0.65,0.24,0.68,0.89,28.9
27.6,0.39,0.84,0.34,0.35,0.87,30.6
19.5,0.06,0.72,0.18,0.59,1.0,20.9
46.9,0.53,0.41,0.57,0.65,1.0,60.2
30.5,0.27,0.65,0.22,0.64,0.86,27.2
48.1,0.57,0.65,0.43,0.85,0.85,36.3
11.1,0.15,0.93,0.23,0.97,0.99,16.4
17.5,0.13,0.88,0.4,0.87,0.95,21.1
29.5,0.29,0.81,0.38,0.76,0.9,28.7
41.2,0.23,0.56,0.38,0.84,0.87,38.4
23.6,0.32,0.9,0.27,0.71,0.77,28.6
59.7,0.79,0.45,0.52,0.7,0.66,59.6
12.1,0.07,0.99,0.14,0.85,0.87,9.7
29.6,0.29,0.6,0.25,0.79,0.83,30.7
53.9,0.7,0.47,0.52,0.93,0.77,52.5
61.0,0.43,0.52,0.51,0.91,0.75,53.5
22.8,0.28,1.0,0.19,0.97,0.81,16.8
7.6,0.24,1.0,0.12,0.8,0.9,13.5
27.3,0.21,0.88,0.35,0.69,0.81,26.9
9.7,0.04,0.69,0.14,0.77,0.8,15.6
25.8,0.39,0.7,0.25,0.58,0.79,34.2
29.3,0.18,0.79,0.39,0.27,0.85,25.7
16.1,0.25,0.65,0.32,0.18,0.9,31.6
34.2,0.38,0.72,0.31,0.49,0.77,45.0
35.8,0.47,0.59,0.39,0.68,0.97,37.4
32.7,0.31,0.63,0.46,0.62,0.94,27.5
35.9,0.51,0.65,0.46,0.69,0.85,42.7
25.9,0.22,0.79,0.2,0.72,1.0,33.0
25.2,0.1,0.86,0.28,0.82,0.57,28.0
22.7,0.07,0.61,0.38,0.67,0.77,19.4
28.4,0.17,0.86,0.25,0.64,0.65,19.0
12.8,0.2,0.97,0.15,0.96,0.99,15.4
37.7,0.3,0.59,0.45,0.78,0.82,32.6
30.1,0.3,0.84,0.3,0.81,0.94,14.8
19.1,0.2,0.56,0.23,0.53,0.78,21.2
14.0,0.06,0.88,0.25,0.67,0.99,14.2
7.3,0.09,0.84,0.28,0.68,0.99,9.1
24.9,0.34,0.59,0.32,0.78,0.86,37.1
22.0,0.22,0.56,0.42,0.75,0.87,31.1
53.5,0.63,0.56,0.41,0.92,0.69,44.4
13.8,0.1,0.94,0.32,0.68,0.72,15.5
18.3,0.21,1.0,0.29,0.84,0.9,14.2
5.9,0.07,1.0,0.29,0.43,1.0,8.2
32.5,0.43,0.63,0.32,0.7,1.0,31.9
18.9,0.23,1.0,0.28,0.85,1.0,22.3
33.9,0.27,0.81,0.48,0.87,0.79,29.8
24.7,0.3,0.58,0.42,0.96,0.96,22.4
38.7,0.29,0.59,0.38,0.84,0.94,28.5
44.2,0.48,0.59,0.56,0.28,0.92,56.0
16.8,0.16,0.79,0.32,0.95,0.91,22.5
29.2,0.31,1.0,0.33,0.34,0.82,26.5
16.4,0.16,0.79,0.41,0.74,0.96,21.5
56.9,0.51,0.37,0.41,0.33,0.65,55.5
33.4,0.26,0.78,0.35,0.61,0.82,33.7
16.2,0.27,0.86,0.21,0.9,0.91,10.2
25.9,0.45,0.71,0.46,0.82,0.81,42.4
19.8,0.23,1.0,0.17,0.82,1.0,20.4
53.2,0.54,0.7,0.56,0.54,0.68,42.7
9.0,0.0,0.7,0.28,0.54,1.0,17.3
32.0,0.14,0.96,0.28,0.7,0.77,17.0
37.0,0.21,0.6,0.3,0.61,0.86,30.9
45.8,0.51,0.71,0.34,0.71,0.59,50.0
6.1,0.0,1.0,0.09,0.84,0.95,0.5
44.4,0.51,0.68,0.55,0.8,0.8,36.1
25.7,0.15,1.0,0.46,0.57,1.0,23.4
8.6,0.1,1.0,0.33,0.51,0.87,17.9
18.4,0.14,0.91,0.24,0.19,0.88,23.6
28.8,0.18,0.86,0.42,0.92,0.9,36.3
35.7,0.22,0.46,0.5,0.85,0.93,36.6
27.8,0.11,0.69,0.44,0.87,0.87,23.3
37.9,0.27,0.46,0.28,0.58,0.77,36.5
32.2,0.54,0.65,0.29,0.42,0.79,44.8
54.7,0.68,0.52,0.66,0.8,0.59,62.7
27.0,0.29,0.71,0.41,0.83,0.77,24.0
51.7,0.48,0.46,0.61,0.71,0.89,48.4
13.7,0.08,0.66,0.25,0.69,0.84,23.1
18.6,0.2,0.74,0.25,0.69,0.97,19.0
19.2,0.13,1.0,0.33,0.73,0.76,16.1
50.6,0.45,0.41,0.5,0.71,0.6,50.6
9.8,0.15,0.85,0.18,0.87,1.0,6.8
26.3,0.16,0.77,0.29,0.57,0.85,32.9
0.8,0.0,1.0,0.05,0.36,0.97,12.8
26.0,0.2,0.72,0.34,0.38,0.74,29.4
17.3,0.32,0.62,0.28,0.85,0.99,21.6
3.8,0.0,1.0,0.2,0.47,0.97,14.5
36.0,0.24,0.93,0.29,0.57,0.87,28.8
41.1,0.35,0.86,0.56,0.9,0.77,39.9
31.6,0.16,0.58,0.44,0.74,0.91,37.0
8.5,0.24,0.97,0.1,0.5,1.0,12.9
38.9,0.4,0.99,0.3,0.66,0.93,28.3
32.9,0.15,0.67,0.42,0.72,0.76,20.8
19.1,0.18,0.85,0.24,0.32,0.89,20.9
48.2,0.48,0.29,0.43,0.79,0.69,50.0
18.5,0.16,0.97,0.38,0.47,0.93,21.8
19.7,0.18,0.84,0.24,0.85,0.89,20.8
32.0,0.31,0.55,0.41,0.77,0.89,44.7
34.8,0.38,0.76,0.41,0.82,0.73,40.9
28.1,0.32,0.87,0.28,0.53,0.79,29.9
46.4,0.31,0.43,0.42,0.37,0.79,38.3
5.7,0.06,0.69,0.32,0.89,0.93,20.1
67.0,0.69,0.35,0.57,0.28,0.66,61.1
68.2,0.62,0.42,0.71,0.6,0.68,62.4
36.3,0.53,0.68,0.51,0.68,0.8,36.1
33.4,0.33,0.84,0.26,0.85,1.0,30.9
20.6,0.26,0.54,0.34,0.76,0.72,23.6
12.3,0.08,0.73,0.31,0.76,0.82,16.5
44.4,0.41,0.59,0.44,0.83,0.8,37.5
15.4,0.19,0.61,0.28,0.21,0.96,29.8
13.7,0.0,0.75,0.14,0.57,0.81,16.9
66.2,0.74,0.26,0.56,0.31,0.61,66.0
10.1,0.0,1.0,0.28,0.77,0.97,11.3
15.2,0.24,1.0,0.29,0.63,1.0,18.5
31.1,0.28,0.8,0.26,0.73,0.87,24.8
22.8,0.43,1.0,0.46,0.53,0.85,28.4
44.5,0.54,0.77,0.59,0.63,0.68,47.6
21.5,0.31,0.9,0.22,0.7,0.72,21.0
17.9,0.19,0.93,0.39,0.52,0.67,16.6
4.4,0.15,0.87,0.11,0.94,0.89,4.9
39.3,0.47,0.4,0.44,0.37,0.52,46.3
57.1,0.38,0.32,0.63,0.6,0.7,50.8
35.9,0.27,0.77,0.35,0.58,0.93,42.0
44.9,0.36,0.5,0.48,0.8,0.86,39.1
4.2,0.0,1.0,0.16,0.93,0.89,8.5
30.1,0.28,0.42,0.44,0.46,0.74,34.2
17.4,0.23,0.9,0.27,0.25,1.0,34.2
54.0,0.66,0.33,0.55,0.93,0.71,50.6
80.6,0.87,0.08,0.82,0.74,0.58,85.8
9.7,0.22,1.0,0.28,0.25,0.91,20.1
28.2,0.18,1.0,0.36,0.74,0.86,32.9
51.2,0.46,0.33,0.5,0.7,0.67,46.5
3.4,0.01,0.93,0.06,0.68,0.98,8.6
12.4,0.06,0.86,0.1,0.82,0.88,16.5
55.0,0.44,0.56,0.67,0.68,0.63,44.6
57.1,0.61,0.36,0.46,0.65,0.69,56.2
7.7,0.01,0.8,0.14,0.72,1.0,11.6
34.3,0.42,0.7,0.42,0.49,0.73,35.3
22.9,0.11,0.78,0.41,0.87,0.77,30.2
15.7,0.24,0.97,0.36,0.81,0.78,22.2
42.8,0.45,0.47,0.55,0.88,0.74,41.0
11.0,0.13,0.86,0.37,0.81,1.0,16.1
9.7,0.12,1.0,0.08,0.89,0.92,13.2
25.7,0.25,0.73,0.3,0.59,1.0,34.1
33.4,0.33,0.41,0.51,0.42,0.76,43.8
52.0,0.49,0.72,0.5,0.87,0.67,41.3
15.1,0.18,0.84,0.37,0.53,0.65,22.1
15.9,0.21,0.83,0.12,0.71,0.92,16.7
20.9,0.16,1.0,0.3,0.71,1.0,13.5
19.7,0.34,1.0,0.41,0.91,0.87,28.4
38.3,0.35,0.76,0.35,0.59,0.83,33.0
30.6,0.24,0.53,0.49,0.67,0.86,31.1
8.5,0.07,1.0,0.06,0.42,0.82,11.7
31.1,0.23,0.42,0.24,0.67,0.94,21.2
10.2,0.15,0.92,0.21,0.79,0.68,24.9
42.8,0.41,0.5,0.33,0.95,0.9,35.2
4.0,0.11,0.86,0.1,0.63,0.97,17.4
53.0,0.52,0.51,0.46,0.65,0.73,48.6
9.6,0.09,1.0,0.21,0.77,0.85,12.6
34.3,0.3,0.78,0.36,0.83,0.83,35.1
38.5,0.47,0.6,0.55,0.84,0.83,34.1
11.2,0.09,0.86,0.34,0.65,0.84,20.0
40.2,0.43,0.73,0.51,0.66,0.71,36.3
38.8,0.49,0.74,0.47,0.75,0.7,39.3
13.9,0.13,0.88,0.16,0.76,1.0,18.0
48.8,0.48,0.38,0.52,0.71,0.66,47.6
24.4,0.22,0.5,0.22,0.74,0.99,17.3
6.8,0.09,1.0,0.18,0.81,1.0,3.9
17.7,0.26,0.97,0.26,0.67,1.0,10.4
21.7,0.29,0.75,0.36,0.3,0.91,33.3
12.9,0.18,0.93,0.34,0.59,0.98,27.8
7.7,0.2,1.0,0.15,0.83,0.85,13.8
19.2,0.2,1.0,0.15,0.9,0.94,12.7
35.5,0.5,0.59,0.26,0.67,0.97,36.8
37.5,0.48,0.61,0.52,0.75,0.74,40.4
13.5,0.07,0.93,0.24,0.6,0.98,17.4
9.8,0.18,0.72,0.14,0.87,1.0,8.5
20.0,0.01,0.48,0.15,0.64,0.88,20.2
26.6,0.39,0.53,0.34,0.94,0.93,27.3
8.0,0.07,0.88,0.1,0.69,0.93,11.1
21.2,0.13,0.68,0.27,0.74,0.86,22.2
24.2,0.07,0.64,0.32,0.86,0.78,29.4
28.7,0.27,0.72,0.27,0.33,1.0,29.5
24.2,0.36,0.76,0.23,0.75,0.92,34.8
60.4,0.63,0.28,0.43,0.8,0.63,56.0
42.4,0.38,0.33,0.47,0.75,0.81,50.1
72.6,0.71,0.34,0.57,0.79,0.66,51.0
10.5,0.24,1.0,0.34,0.86,0.88,18.9
7.1,0.14,0.84,0.23,0.82,1.0,17.3
26.7,0.26,0.67,0.35,0.62,0.89,25.0
12.1,0.21,1.0,0.24,0.34,0.94,22.3
33.3,0.41,0.82,0.3,0.65,0.89,33.3
18.2,0.09,0.75,0.42,0.81,1.0,26.1
7.6,0.04,0.91,0.34,0.64,1.0,6.8
36.2,0.5,0.86,0.35,0.59,0.83,33.5
62.0,0.69,0.51,0.67,0.7,0.54,60.6
23.5,0.41,0.59,0.2,0.71,0.89,28.6
23.2,0.29,0.51,0.4,0.57,0.73,33.0
33.3,0.26,0.63,0.32,0.97,0.94,27.8
33.6,0.33,0.52,0.32,0.87,0.9,29.7
55.2,0.63,0.52,0.54,0.59,0.69,50.2
24.4,0.24,0.86,0.29,0.57,0.96,21.0
62.3,0.63,0.42,0.47,0.72,0.59,54.5
42.8,0.63,0.45,0.48,0.83,0.68,42.1
9.9,0.07,0.71,0.13,0.68,0.98,17.2
16.1,0.19,0.94,0.25,0.52,0.85,17.6
16.6,0.19,0.96,0.19,0.64,0.9,13.2
70.6,0.8,0.46,0.75,0.8,0.8,63.2
18.4,0.21,0.77,0.23,0.79,1.0,22.2
46.5,0.48,0.52,0.59,0.6,0.73,47.6
10.4,0.31,1.0,0.17,0.95,0.88,16.9
29.2,0.28,0.71,0.26,0.63,0.61,27.4
20.5,0.28,0.71,0.32,0.58,1.0,29.1
58.0,0.45,0.29,0.57,0.63,0.42,58.2
9.6,0.1,1.0,0.25,0.52,0.96,18.2
11.2,0.1,0.84,0.17,0.84,0.85,5.8
11.2,0.1,0.81,0.17,0.76,1.0,13.3
15.3,0.0,0.91,0.18,0.82,0.9,7.6
20.9,0.17,0.68,0.42,0.55,0.9,26.5
31.9,0.23,0.59,0.43,0.65,0.81,36.5
38.2,0.49,0.62,0.49,0.86,0.78,37.5
14.9,0.06,0.78,0.16,0.82,0.96,15.4
24.7,0.31,0.96,0.37,0.75,0.84,26.7
58.1,0.65,0.5,0.64,0.76,0.75,55.3
56.1,0.5,0.46,0.5,0.49,0.78,42.6
6.5,0.0,1.0,0.09,0.56,0.86,8.6
8.7,0.06,0.93,0.27,0.77,1.0,16.0
12.4,0.08,1.0,0.27,0.65,0.92,13.8
32.1,0.22,0.53,0.4,0.77,0.83,31.0
22.7,0.2,0.68,0.21,0.8,0.73,26.0
13.3,0.16,0.72,0.17,0.54,0.93,25.4
29.4,0.17,0.78,0.39,0.82,0.76,29.7
57.1,0.55,0.2,0.58,0.56,0.8,61.4
7.0,0.02,0.98,0.22,0.72,0.96,7.5
25.7,0.27,0.67,0.41,0.71,0.79,29.4
17.9,0.37,0.84,0.37,0.94,0.92,23.2
45.3,0.3,0.54,0.4,0.85,0.83,42.1
7.6,0.07,1.0,0.1,0.76,0.73,6.0
19.8,0.23,1.0,0.2,0.76,0.9,16.9
47.1,0.42,0.83,0.41,0.72,0.59,45.4
19.5,0.23,0.93,0.42,0.62,0.93,25.4
28.7,0.14,0.66,0.24,0.49,0.95,23.9
7.2,0.04,0.96,0.31,0.62,1.0,22.0
23.7,0.0,0.7,0.23,0.76,0.89,13.8
30.2,0.28,0.59,0.32,0.69,0.94,30.0
38.2,0.26,0.32,0.31,0.5,0.78,43.9
10.4,0.14,0.86,0.1,0.79,1.0,20.1
